0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:16 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:16 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:40 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:46 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:46 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:20:49 +0530] "GET /BookStoreWebsite/admin/list_review HTTP/1.1" 200 5106
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:09 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:48 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:48 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:48 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:48 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:49 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:50 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:22:51 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:01 +0530] "GET /BookStoreWebsite/admin/list_review HTTP/1.1" 200 5454
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:14 +0530] "GET /BookStoreWebsite/view_category?id=1 HTTP/1.1" 200 256099
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:19 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212761
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:26 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:28 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:23:52 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:24:16 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 35774
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:25:36 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36733
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:25:36 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:25:36 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:28:49 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36724
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:28:49 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:28:50 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:30:18 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:30:18 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:30:19 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 68994
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:31:05 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 69001
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:31:09 +0530] "GET /BookStoreWebsite/view_category?id=9 HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:31:11 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:31:12 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80420
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:31:26 +0530] "GET /BookStoreWebsite/search?keyboard=java HTTP/1.1" 200 157252
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:33:19 +0530] "GET /BookStoreWebsite/admin/list_review HTTP/1.1" 200 5884
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:33:53 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:33:53 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:33:53 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:33:53 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:37:49 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:37:53 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 4066
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:58:47 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css.map HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:26 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80421
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:26 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:26 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:26 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:34 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:35 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36732
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:37 +0530] "GET /BookStoreWebsite/total_review HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:37 +0530] "GET /css/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:37 +0530] "GET /js/jquery.validate.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:37 +0530] "GET /js/jquery-3.6.4.min.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:45:39 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:46:50 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:46:51 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80421
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:47:00 +0530] "GET /BookStoreWebsite/search?keyboard=java HTTP/1.1" 200 160349
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:47:49 +0530] "GET /BookStoreWebsite/search?keyboard=java HTTP/1.1" 200 160352
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:47:52 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:47:56 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264496
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:49:19 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264256
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:51:47 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264571
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:53:00 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264606
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:53:24 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264476
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:53:41 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264536
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:54:06 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264461
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:54:30 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264271
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:54:49 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264356
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:55:26 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264151
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:56:03 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264321
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:56:42 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264216
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:56:42 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:56:42 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:56:42 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:57:08 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264216
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:57:10 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264216
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:57:10 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264216
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:57:11 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:58:22 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264306
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:59:05 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264301
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:59:09 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264301
0:0:0:0:0:0:0:1 - - [05/Apr/2023:14:59:37 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264291
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:00:20 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264056
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:00:46 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264056
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:01:57 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263916
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:04:39 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263986
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:05:10 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263666
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:06:15 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263936
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:07:08 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264012
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:09 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263902
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:45 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263992
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263992
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263992
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:47 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263992
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:08:48 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263992
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:07 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263962
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:31 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264037
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:32 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264037
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:32 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264037
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:32 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264037
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:09:32 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 264037
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:10:12 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263947
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:10:32 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263947
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:10:33 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263947
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:10:33 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263947
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:10:34 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263947
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:00 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263962
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:02 +0530] "GET /BookStoreWebsite/add_to_cart HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:02 +0530] "GET /css/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:02 +0530] "GET /js/jquery.validate.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:02 +0530] "GET /js/jquery-3.6.4.min.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:11:45 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263912
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:11 +0530] "GET /BookStoreWebsite/search?keyboard=code HTTP/1.1" 200 263882
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:26 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:33 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:33 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:35 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:37 +0530] "GET /BookStoreWebsite/admin/edit_book?id=16 HTTP/1.1" 200 68708
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:37 +0530] "GET /path/to/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:37 +0530] "GET /BookStoreWebsite/css/richtext.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:42 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:45 +0530] "GET /BookStoreWebsite/admin/edit_book?id=15 HTTP/1.1" 200 36438
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:12:45 +0530] "GET /path/to/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:01 +0530] "GET /BookStoreWebsite/admin/list_book HTTP/1.1" 200 254876
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:04 +0530] "GET /BookStoreWebsite/admin/edit_book?id=14 HTTP/1.1" 200 80129
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:04 +0530] "GET /path/to/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:42 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80421
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:53 +0530] "GET /BookStoreWebsite/admin/edit_book?id=14 HTTP/1.1" 200 80129
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:13:53 +0530] "GET /path/to/font-awesome.min.css HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:22 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80419
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:23 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80419
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:23 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80419
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:23 +0530] "GET /BookStoreWebsite/view_book?id=14 HTTP/1.1" 200 80419
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:25 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:26 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36730
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:53 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36709
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:54 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 36709
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:55 +0530] "GET /BookStoreWebsite/view_category?id=9 HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:57 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212758
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:15:58 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 68979
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:17:13 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 68979
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:18:48 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 69051
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:19:25 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 69041
0:0:0:0:0:0:0:1 - - [05/Apr/2023:15:19:26 +0530] "GET /BookStoreWebsite/view_book?id=16 HTTP/1.1" 200 69041
