127.0.0.1 - - [09/Apr/2023:12:27:30 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/js/jquery.richtext.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/js/jquery-3.6.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 286362
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:42 +0530] "GET /BookStoreWebsite/login HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:49 +0530] "POST /BookStoreWebsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:50 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 286434
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:27:58 +0530] "GET /BookStoreWebsite/view_cart HTTP/1.1" 200 63527
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:28:10 +0530] "POST /BookStoreWebsite/update_cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:28:11 +0530] "GET /BookStoreWebsite/view_cart HTTP/1.1" 200 63626
0:0:0:0:0:0:0:1 - - [09/Apr/2023:12:28:16 +0530] "POST /BookStoreWebsite/update_cart HTTP/1.1" 302 -
